S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
68,68,,S,DA,26,67-68,243.2012067,1.7,FALSE,25.604628,,9.296972222,78.43191667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43191666666667 9.296972222222221, 78.43227777777778 9.295472222222221)"
69,69,,S,DA+3,29,68-69,171.1066989,3.38,FALSE,26.144749,,9.295472222,78.43227778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43227777777778 9.295472222222221, 78.43269444444445 9.29363888888889)"
70,70,,T,DB,25,69-70,206.9691142,2.1,FALSE,25.90023,"0°46'12""L",9.293638889,78.43269444,GOOD,Available,"2-LT,2-11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43269444444445 9.29363888888889, 78.43325 9.291138888888888)"
71,71,,S,DA,26,70-71,283.5561105,3.2,FALSE,25.297987,,9.291138889,78.43325,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43325 9.291138888888888, 78.43380555555557 9.288666666666666)"
72,72,,S,DA+3,29,71-72,279.5644689,3.95,FALSE,25.671789,,9.288666667,78.43380556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43380555555557 9.288666666666666, 78.43430555555555 9.28636111111111)"
73,73,,S,DA,26,72-73,260.2079211,1.28,FALSE,24.858522,,9.286361111,78.43430556,GOOD,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43430555555555 9.28636111111111, 78.43483333333333 9.283972222222221)"
74,74,,S,DA,26,73-74,273.0597985,1.11,FALSE,23.997311,,9.283972222,78.43483333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43483333333333 9.283972222222221, 78.43533333333333 9.281527777777779)"
75,75,,T,DB,25,74-75,280,0.92,FALSE,26.002047,"0°56'24""R",9.281527778,78.43533333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43533333333333 9.281527777777779, 78.4358888888889 9.279194444444446)"
76,76,,S,DA,26,75-76,265.2029087,1.35,FALSE,25.454315,,9.279194444,78.43588889,GOOD,NO E/W,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4358888888889 9.279194444444446, 78.43644444444445 9.276527777777778)"
77,77,,S,DA,26,76-77,305,1.2,FALSE,25.408075,,9.276527778,78.43644444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43644444444445 9.276527777777778, 78.43697222222222 9.274194444444445)"
