S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,60,S,DA+0,28,T 59-T  60,255,0.88,"=IF(H66>15,0)",104.535873,,9.732437890465036,78.07388803350368,Good,Good,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07388803350368 9.732437890465036, 78.07637402215161 9.731902873768673)"
62,61,S,DA+0,28,T 60-T  61,282,0.11,"=IF(H67>15,0)",102.559738,,9.731902873768673,78.07637402215161,Good,Good,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07637402215161 9.731902873768673, 78.0785649678095 9.731453939195655)"
63,62,S,DA+0,28,T 61-T  62,248,5.31,"=IF(H68>15,0)",104.86969,,9.731453939195655,78.0785649678095,Good,Good,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0785649678095 9.731453939195655, 78.08120602166528 9.730888915296886)"
64,63,S,DA+0,28,T 62-T  63,299,3.68,"=IF(H69>15,0)",103.451508,,9.730888915296886,78.08120602166528,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08120602166528 9.730888915296886, 78.08333401923079 9.73040988968607)"
65,64,S,DA+0,28,T 63-T  64,242,7.19,"=IF(H70>15,0)",104.536773999999,,9.73040988968607,78.08333401923079,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08333401923079 9.73040988968607, 78.08556503038578 9.729934887395894)"
66,65,T,DD+0,26,T 64-T  65,253,9.61,"=IF(H71>15,0)",103.513031,27°47'33''RT,9.729934887395894,78.08556503038578,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08556503038578 9.729934887395894, 78.08583802897056 9.730010911276729)"
67,66 H,T,H-Pole,8,T 65-T  66,34,Nil,"=IF(H72>15,0)",103.062988,7°58'39''RT,9.730010911276729,78.08583802897056,Good,Good,,230 kv Pasumalai to TTPS OH ,Plain,H-Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08583802897056 9.730010911276729, 78.08615100923323 9.730052904633645)"
68,67 H,T,H-Pole,8,T 66-T  67,37,0.35,"=IF(H73>15,0)",103.970733999999,1°6'11''RT,9.730052904633645,78.08615100923323,Good,Good,,230 kv Pasumalai to TTPS OH ,Plain,H-Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08615100923323 9.730052904633645, 78.08684100749853 9.730158935756316)"
69,68,T,DD+0,26,T 67-T  68,79,1.07,"=IF(H74>15,0)",104.602097,37°21'10''RT,9.730158935756316,78.08684100749853,Good,Good,11KV,230 kv Pasumalai to TTPS OH ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08684100749853 9.730158935756316, 78.08910697118972 9.72893593243602)"
70,69,S,DA+0,28,T 68-T  69,286,10.56,"=IF(H75>15,0)",104.243484,,9.72893593243602,78.08910697118972,Good,Good,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08910697118972 9.72893593243602, 78.09123698041218 9.727800939088016)"
71,70,T,DC+0,26,T 69-T  70,268,1.36,"=IF(H76>15,0)",104.712914,10°37'5''RT,9.727800939088016,78.09123698041218,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09123698041218 9.727800939088016, 78.09358198544982 9.727061906856898)"
72,71,S,DA+0,28,T 70-T  71,273,0.63,"=IF(H77>15,0)",105.910828,,9.727061906856898,78.09358198544982,Good,Good,2 LT LINES,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09358198544982 9.727061906856898, 78.09589103212309 9.72635992263481)"
73,72,T,DB+0,26,T 71-T  72,268,0.34,"=IF(H78>15,0)",107.649345,10°12'57''RT,9.72635992263481,78.09589103212309,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09589103212309 9.72635992263481, 78.09725501921892 9.72566288366962)"
74,73,T,DB+0,26,T 72-T  73,171,2.01,"=IF(H79>15,0)",106.333350999999,,9.72566288366962,78.09725501921892,Good,Good,3 11KV LINES,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09725501921892 9.72566288366962, 78.09730399137018 9.725681788558113)"
75,74,T,H-Pole,8,T 73 - T 74,166,Nil,"=IF(H80>15,0)",108,,9.725681788558113,78.09730399137018,NO E/W,NO E/W,,,SS,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09730399137018 9.725681788558113, 78.09727753385357 9.725582192963442)"
76,75,T,H-Pole,8,T 74 - T 75,40,Nil,"=IF(H81>15,0)",108,,9.725582192963442,78.09727753385357,NO E/W,NO E/W,,,SS,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH ,,,,,,=SUM(G7:G81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
